Movie,Recommendations
The Godfather,"The Godfather Part II, Schindler's List, The Shawshank Redemption, The Godfather Part III, Pulp Fiction, Scarface, 12 Angry Men, GoodFellas, X-Men, The Good, the Bad and the Ugly, The Dark Knight, Spirited Away, Riddick, Your Name., The Untouchables, Fight Club, Return of the Jedi, Forrest Gump, The Matrix, The Departed"
The Shawshank Redemption,"The Godfather, Schindler's List, The Godfather Part II, Pulp Fiction, The Dark Knight, The Green Mile, 12 Angry Men, The Silence of the Lambs, Spirited Away, Forrest Gump, Fight Club, Se7en, X-Men: First Class, Parasite, Ice Age: Continental Drift, The Lord of the Rings: The Two Towers, The Lord of the Rings: The Return of the King, Life Is Beautiful, Your Name., Léon: The Professional"
Schindler's List,"The Godfather Part II, The Green Mile, Saving Private Ryan, Life Is Beautiful, Spirited Away, 12 Angry Men, Pulp Fiction, Forrest Gump, The Pianist, Shutter Island, Parasite, The Godfather, The Shawshank Redemption, Your Name., One Flew Over the Cuckoo's Nest, The Dark Knight, A Beautiful Mind, Downfall, Léon: The Professional, Dead Poets Society"
Raging Bull,"The King of Comedy, The Deer Hunter, Casino, Cape Fear, Silence, Mean Streets, Barry Lyndon, The Color of Money, Taxi Driver, Dog Day Afternoon, GoodFellas, Trainspotting, The Last Temptation of Christ, Once Upon a Time in America, Bringing Out the Dead, Into the Wild, In Bruges, Chinatown, Brazil, Rain Man"
Casablanca,"Citizen Kane, The Wizard of Oz, The Treasure of the Sierra Madre, The Big Sleep, The Maltese Falcon, It's a Wonderful Life, The African Queen, The Deer Hunter, Lawrence of Arabia, Chinatown, Gone with the Wind, Singin' in the Rain, Rear Window, Once Upon a Time in the West, North by Northwest, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, A Streetcar Named Desire, The Best Years of Our Lives, To Have and Have Not, Play It Again, Sam"
Citizen Kane,"Casablanca, Touch of Evil, The Wizard of Oz, The Third Man, Modern Times, It's a Wonderful Life, Double Indemnity, Mank, Bicycle Thieves, Vertigo, Lawrence of Arabia, Metropolis, The Maltese Falcon, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Rome, Open City, The Stranger, The Magnificent Ambersons, The Lady from Shanghai, The Godfather Trilogy: 1901-1980, The Philadelphia Story"
Gone with the Wind,"Lawrence of Arabia, Rebecca, Secondhand Lions, It Happened One Night, The Wizard of Oz, Casablanca, A Streetcar Named Desire, Mr. Smith Goes to Washington, National Lampoon's Christmas Vacation, Citizen Kane, Wait Until Dark, Mrs. Miniver, Waterloo Bridge, Imitation of Life, The Sting, Good Night, and Good Luck., The Girl Who Played with Fire, The Sound of Music, Breakfast at Tiffany's, The Searchers"
The Wizard of Oz,"A Night at the Opera, Gone with the Wind, Pinocchio, The Sound of Music, Mr. Smith Goes to Washington, Willy Wonka & the Chocolate Factory, Casablanca, Oz the Great and Powerful, Fantasia, The Philadelphia Story, Pee-wee's Playhouse Christmas Special, Mary Poppins, Snow White and the Seven Dwarfs, The Fugitive, Superbad, Hellboy, Citizen Kane, Singin' in the Rain, The Jungle Book, Spider-Man"
One Flew Over the Cuckoo's Nest,"Monty Python and the Holy Grail, GoodFellas, City of God, Chinatown, The Empire Strikes Back, A Clockwork Orange, Patton, The Princess Bride, American History X, Amadeus, Ben-Hur, The Usual Suspects, Man on the Moon, As Good as It Gets, Aliens, Fight Club, Psycho, Forrest Gump, Taxi Driver, The Silence of the Lambs"
Lawrence of Arabia,"The Bridge on the River Kwai, North by Northwest, The Sting, Tom Jones, The Great Escape, Invasion of the Body Snatchers, Ben-Hur, Gone with the Wind, The Ten Commandments, Network, To Kill a Mockingbird, West Side Story, A Bridge Too Far, Joe, On the Waterfront, Notes on a Scandal, Kill Bill: The Whole Bloody Affair, The Magnificent Seven, Doctor Zhivago, The General"
